Date : 2024-09-28 11:54:11
Directory : c:\Users\alber\Documents\Programmieren\Capella\Capella
Total : 413 files,  28867 codes, 725 comments, 3156 blanks, all 32748 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon.component.spec.ts                                                                                | TypeScript         |         17 |          0 |          5 |         22 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon.component.ts                                                                                     | TypeScript         |         26 |         15 |         11 |         52 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\snackbar\snackbar.service.spec.ts                                                                              | TypeScript         |         12 |          0 |          5 |         17 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\snackbar\snackbar.service.ts                                                                                   | TypeScript         |         34 |          0 |         10 |         44 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\snackbar\snackbar\snackbar.component.css                                                                       | CSS                |         29 |          0 |          3 |         32 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\snackbar\snackbar\snackbar.component.html                                                                      | HTML               |          4 |          0 |          1 |          5 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\snackbar\snackbar\snackbar.component.spec.ts                                                                   | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\snackbar\snackbar\snackbar.component.ts                                                                        | TypeScript         |         22 |          0 |          8 |         30 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\color-picker\color-picker.component.html                                                      | HTML               |         10 |          0 |          0 |         10 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\color-picker\color-picker.component.scss                                                      | SCSS               |         35 |          0 |          5 |         40 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\color-picker\color-picker.component.spec.ts                                                   | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\color-picker\color-picker.component.ts                                                        | TypeScript         |         20 |          0 |          5 |         25 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\color-style\color-style.component.css                                                         | CSS                |         29 |          0 |          5 |         34 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\color-style\color-style.component.html                                                        | HTML               |          7 |          0 |          1 |          8 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\color-style\color-style.component.spec.ts                                                     | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\color-style\color-style.component.ts                                                          | TypeScript         |         51 |          4 |         10 |         65 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\fill-style\fill-style.component.html                                                          | HTML               |          1 |          0 |          1 |          2 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\fill-style\fill-style.component.scss                                                          | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\fill-style\fill-style.component.spec.ts                                                       | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\fill-style\fill-style.component.ts                                                            | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\object-style\object-style.component.html                                                      | HTML               |          1 |          0 |          1 |          2 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\object-style\object-style.component.scss                                                      | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\object-style\object-style.component.spec.ts                                                   | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\object-style\object-style.component.ts                                                        | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\pen-picker\pen-picker.component.html                                                          | HTML               |          8 |          0 |          0 |          8 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\pen-picker\pen-picker.component.scss                                                          | SCSS               |         49 |          0 |          8 |         57 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\pen-picker\pen-picker.component.spec.ts                                                       | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\pen-picker\pen-picker.component.ts                                                            | TypeScript         |         39 |          0 |          7 |         46 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\stroke-style\stroke-style.component.html                                                      | HTML               |          1 |          0 |          1 |          2 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\stroke-style\stroke-style.component.scss                                                      | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\stroke-style\stroke-style.component.spec.ts                                                   | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\stroke-style\stroke-style.component.ts                                                        | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\text-style\text-style.component.html                                                          | HTML               |          1 |          0 |          1 |          2 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\text-style\text-style.component.scss                                                          | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\text-style\text-style.component.spec.ts                                                       | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\style-components\text-style\text-style.component.ts                                                            | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\styles\_global.scss                                                                                            | SCSS               |        115 |          3 |         19 |        137 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\styles\colors.ts                                                                                               | TypeScript         |         58 |          0 |          2 |         60 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\styles\formats.ts                                                                                              | TypeScript         |          5 |          0 |          1 |          6 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\canvas\prokyonCanvas.component.html                                                                           | HTML               |          3 |          0 |          1 |          4 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\canvas\prokyonCanvas.component.scss                                                                           | SCSS               |          1 |          0 |          0 |          1 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\canvas\prokyonCanvas.component.spec.ts                                                                        | TypeScript         |         17 |          0 |          4 |         21 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\canvas\prokyonCanvas.component.ts                                                                             | TypeScript         |         26 |          0 |          6 |         32 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\context-menu\context-menu.directive.spec.ts                                                                   | TypeScript         |          7 |          1 |          2 |         10 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\context-menu\context-menu.directive.ts                                                                        | TypeScript         |        107 |         18 |         23 |        148 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\context-menu\context-menu\context-menu.component.css                                                          | CSS                |         63 |          0 |         10 |         73 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\context-menu\context-menu\context-menu.component.html                                                         | HTML               |          6 |          0 |          1 |          7 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\context-menu\context-menu\context-menu.component.spec.ts                                                      | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\context-menu\context-menu\context-menu.component.ts                                                           | TypeScript         |         66 |          5 |         13 |         84 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-abstract-line-element\view-abstract-line-element.component.css                           | CSS                |         38 |          1 |         10 |         49 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-abstract-line-element\view-abstract-line-element.component.html                          | HTML               |         26 |          0 |          1 |         27 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-abstract-line-element\view-abstract-line-element.component.spec.ts                       | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-abstract-line-element\view-abstract-line-element.component.ts                            | TypeScript         |         65 |          0 |         18 |         83 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-angle-element\view-angle-element.component.css                                           | CSS                |         38 |          1 |         11 |         50 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-angle-element\view-angle-element.component.html                                          | HTML               |         30 |          0 |          1 |         31 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-angle-element\view-angle-element.component.spec.ts                                       | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-angle-element\view-angle-element.component.ts                                            | TypeScript         |         57 |          0 |         15 |         72 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-circle-element\view-circle-element.component.css                                         | CSS                |         42 |          0 |         11 |         53 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-circle-element\view-circle-element.component.html                                        | HTML               |         36 |          0 |          1 |         37 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-circle-element\view-circle-element.component.spec.ts                                     | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-circle-element\view-circle-element.component.ts                                          | TypeScript         |         62 |          0 |         18 |         80 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-curve-element\view-curve-element.component.css                                           | CSS                |         38 |          1 |         10 |         49 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-curve-element\view-curve-element.component.html                                          | HTML               |         23 |          0 |          1 |         24 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-curve-element\view-curve-element.component.spec.ts                                       | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-curve-element\view-curve-element.component.ts                                            | TypeScript         |         55 |          0 |         15 |         70 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-dependency-point-elements-dialog\view-dependency-point-elements-dialog.component.css     | CSS                |         33 |          0 |          9 |         42 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-dependency-point-elements-dialog\view-dependency-point-elements-dialog.component.html    | HTML               |         22 |          0 |          1 |         23 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-dependency-point-elements-dialog\view-dependency-point-elements-dialog.component.spec.ts | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-dependency-point-elements-dialog\view-dependency-point-elements-dialog.component.ts      | TypeScript         |         23 |          0 |          7 |         30 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-point-element\view-point-element.component.css                                           | CSS                |         35 |          1 |          9 |         45 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-point-element\view-point-element.component.html                                          | HTML               |         20 |          0 |          1 |         21 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-point-element\view-point-element.component.spec.ts                                       | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-point-element\view-point-element.component.ts                                            | TypeScript         |         47 |          0 |         12 |         59 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-shape-element\view-shape-element.component.css                                           | CSS                |         38 |          1 |         11 |         50 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-shape-element\view-shape-element.component.html                                          | HTML               |         23 |          0 |          1 |         24 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-shape-element\view-shape-element.component.spec.ts                                       | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-dialogs\view-shape-element\view-shape-element.component.ts                                            | TypeScript         |         59 |          0 |         14 |         73 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\compiled-point-formula\compiled-point-formula.component.css                                       | CSS                |         23 |          1 |          5 |         29 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\compiled-point-formula\compiled-point-formula.component.html                                      | HTML               |         10 |          0 |          1 |         11 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\compiled-point-formula\compiled-point-formula.component.spec.ts                                   | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\compiled-point-formula\compiled-point-formula.component.ts                                        | TypeScript         |         26 |          0 |          8 |         34 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\curve-formula\curve-formula.component.css                                                         | CSS                |         35 |          1 |          8 |         44 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\curve-formula\curve-formula.component.html                                                        | HTML               |         47 |          0 |          1 |         48 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\curve-formula\curve-formula.component.spec.ts                                                     | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\curve-formula\curve-formula.component.ts                                                          | TypeScript         |         55 |          0 |         14 |         69 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\definite-integral-formula\definite-integral-formula.component.css                                 | CSS                |         25 |          0 |          7 |         32 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\definite-integral-formula\definite-integral-formula.component.html                                | HTML               |         13 |          0 |          1 |         14 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\definite-integral-formula\definite-integral-formula.component.spec.ts                             | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\definite-integral-formula\definite-integral-formula.component.ts                                  | TypeScript         |         11 |          0 |          4 |         15 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\dependency-point-elements-formula\dependency-point-elements-formula.component.css                 | CSS                |         16 |          0 |          4 |         20 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\dependency-point-elements-formula\dependency-point-elements-formula.component.html                | HTML               |          8 |          0 |          1 |          9 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\dependency-point-elements-formula\dependency-point-elements-formula.component.spec.ts             | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\dependency-point-elements-formula\dependency-point-elements-formula.component.ts                  | TypeScript         |         25 |          0 |          6 |         31 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\formula-element\formula-element.component.css                                                     | CSS                |         13 |          0 |          3 |         16 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\formula-element\formula-element.component.html                                                    | HTML               |          3 |          0 |          1 |          4 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\formula-element\formula-element.component.spec.ts                                                 | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\formula-element\formula-element.component.ts                                                      | TypeScript         |         83 |          0 |         12 |         95 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\formula-tab.component.css                                                                         | CSS                |         33 |          0 |          5 |         38 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\formula-tab.component.html                                                                        | HTML               |          7 |          0 |          1 |          8 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\formula-tab.component.spec.ts                                                                     | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\formula-tab.component.ts                                                                          | TypeScript         |         78 |          0 |         10 |         88 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\geometric-formula\geometric-formula.component.css                                                 | CSS                |         17 |          0 |          3 |         20 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\geometric-formula\geometric-formula.component.html                                                | HTML               |          6 |          0 |          1 |          7 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\geometric-formula\geometric-formula.component.spec.ts                                             | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\geometric-formula\geometric-formula.component.ts                                                  | TypeScript         |         38 |          0 |          8 |         46 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\global\color-circle\color-circle.component.css                                                    | CSS                |         12 |          0 |          2 |         14 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\global\color-circle\color-circle.component.html                                                   | HTML               |          1 |          0 |          1 |          2 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\global\color-circle\color-circle.component.spec.ts                                                | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\global\color-circle\color-circle.component.ts                                                     | TypeScript         |         39 |          0 |         10 |         49 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\global\interval\interval.component.css                                                            | CSS                |          8 |          0 |          3 |         11 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\global\interval\interval.component.html                                                           | HTML               |          4 |          0 |          1 |          5 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\global\interval\interval.component.spec.ts                                                        | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\global\interval\interval.component.ts                                                             | TypeScript         |         33 |          0 |          6 |         39 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\graph-formula\graph-formula.component.css                                                         | CSS                |         13 |          0 |          4 |         17 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\graph-formula\graph-formula.component.html                                                        | HTML               |          5 |          0 |          1 |          6 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\graph-formula\graph-formula.component.spec.ts                                                     | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\graph-formula\graph-formula.component.ts                                                          | TypeScript         |         98 |          0 |          9 |        107 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\point-formula\point-formula.component.css                                                         | CSS                |         20 |          1 |          4 |         25 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\point-formula\point-formula.component.html                                                        | HTML               |         10 |          0 |          1 |         11 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\point-formula\point-formula.component.spec.ts                                                     | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\point-formula\point-formula.component.ts                                                          | TypeScript         |         23 |          0 |          6 |         29 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\variable-formula\variable-formula.component.css                                                   | CSS                |         26 |          0 |          6 |         32 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\variable-formula\variable-formula.component.html                                                  | HTML               |          6 |          0 |          1 |          7 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\variable-formula\variable-formula.component.spec.ts                                               | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\formula-tab\variable-formula\variable-formula.component.ts                                                    | TypeScript         |         32 |          0 |          7 |         39 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\func-analyser-dialog\func-analyser-dialog.component.css                                                       | CSS                |         13 |          0 |          4 |         17 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\func-analyser-dialog\func-analyser-dialog.component.html                                                      | HTML               |         16 |          0 |          1 |         17 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\func-analyser-dialog\func-analyser-dialog.component.spec.ts                                                   | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\func-analyser-dialog\func-analyser-dialog.component.ts                                                        | TypeScript         |         73 |          3 |         10 |         86 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\geometry-tab\geometry-tab.component.css                                                                       | CSS                |         62 |          1 |         11 |         74 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\geometry-tab\geometry-tab.component.html                                                                      | HTML               |          9 |          0 |          1 |         10 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\geometry-tab\geometry-tab.component.spec.ts                                                                   | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\geometry-tab\geometry-tab.component.ts                                                                        | TypeScript         |        117 |          0 |         10 |        127 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\abstract\formulaDialogElement.ts                                                               | TypeScript         |          6 |          0 |          3 |          9 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\abstract\formulaElement.ts                                                                     | TypeScript         |         25 |          3 |          4 |         32 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\abstract\prokyonCanvasElement.ts                                                               | TypeScript         |         83 |          0 |         15 |         98 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\canvas-elements\abstractLine.ts                                                                | TypeScript         |         79 |          2 |         15 |         96 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\canvas-elements\angleElement.ts                                                                | TypeScript         |        268 |          0 |         54 |        322 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\canvas-elements\circleElement.ts                                                               | TypeScript         |        156 |          0 |         30 |        186 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\canvas-elements\compiledPointElement.ts                                                        | TypeScript         |        160 |          1 |         30 |        191 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\canvas-elements\curveElement.ts                                                                | TypeScript         |        363 |          7 |         59 |        429 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\canvas-elements\definiteIntegral.ts                                                            | TypeScript         |        210 |         11 |         33 |        254 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\canvas-elements\dependencyPointElements.ts                                                     | TypeScript         |        424 |         21 |         54 |        499 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\canvas-elements\dynamicElement.ts                                                              | TypeScript         |         29 |          2 |          6 |         37 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\canvas-elements\dynamicPointElement.ts                                                         | TypeScript         |        244 |          8 |         36 |        288 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\canvas-elements\graph.ts                                                                       | TypeScript         |        288 |         24 |         52 |        364 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\canvas-elements\lineElement.ts                                                                 | TypeScript         |        339 |          5 |         32 |        376 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\canvas-elements\lineSegmentElement.ts                                                          | TypeScript         |        113 |          0 |         17 |        130 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\canvas-elements\pointElement.ts                                                                | TypeScript         |        173 |          3 |         27 |        203 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\canvas-elements\shapeElement.ts                                                                | TypeScript         |        236 |          8 |         45 |        289 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\canvas-elements\variableElement.ts                                                             | TypeScript         |         63 |          0 |         10 |         73 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\func\func.ts                                                                                   | TypeScript         |         30 |          0 |          7 |         37 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\func\funcAnalyser.ts                                                                           | TypeScript         |         81 |         11 |         14 |        106 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\func\funcInspector.ts                                                                          | TypeScript         |        100 |          0 |         16 |        116 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\func\funcParser.ts                                                                             | TypeScript         |         79 |         10 |         13 |        102 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\func\operations\constants\constant.ts                                                          | TypeScript         |         26 |          0 |          5 |         31 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\func\operations\constants\e.ts                                                                 | TypeScript         |          9 |          0 |          3 |         12 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\func\operations\constants\pi.ts                                                                | TypeScript         |          9 |          0 |          3 |         12 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\func\operations\elementary-operations\addition.ts                                              | TypeScript         |         72 |          4 |         10 |         86 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\func\operations\elementary-operations\division.ts                                              | TypeScript         |         69 |         10 |         15 |         94 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\prokyon\global\classes\func\operations\elementary-operations\modulo.ts                                                | TypeScript         |         19 |          0 |          6 |         25 |
